State Name,Dist Name,Crop,Historical_Avg_Yield_13_17,Trend_Slope,Expected_2018_Yield
Andhra Pradesh,Krishna,SUGARCANE,9174.796,114.3010000000002,9517.699000000022
Andhra Pradesh,Krishna,SUNFLOWER,860.0,29.99999999999999,950.0
Andhra Pradesh,Krishna,WHEAT,0.0,0.0,0.0
Andhra Pradesh,Kurnool,BARLEY,0.0,0.0,0.0
Andhra Pradesh,Kurnool,CASTOR,541.874,42.79499999999999,670.2589999999909
Andhra Pradesh,Kurnool,CHICKPEA,1178.392,-63.795000000000016,987.0070000000123
Andhra Pradesh,Kurnool,COTTON,494.198,-12.335000000000004,457.1929999999993
Andhra Pradesh,Kurnool,FINGER MILLET,1705.2100000000003,26.72200000000001,1785.3759999999966
Andhra Pradesh,Kurnool,GROUNDNUT,1128.196,111.13199999999999,1461.5920000000042
Andhra Pradesh,Kurnool,KHARIF SORGHUM,2412.38,-135.212,2006.744000000006
Andhra Pradesh,Kurnool,LINSEED,0.0,0.0,0.0
Andhra Pradesh,Kurnool,MAIZE,5101.694,9.510999999999907,5130.226999999999
Andhra Pradesh,Kurnool,MINOR PULSES,1080.822,0.8830000000000316,1083.471
Andhra Pradesh,Kurnool,OILSEEDS,1004.7360000000001,101.91399999999997,1310.4780000000028
Andhra Pradesh,Kurnool,PEARL MILLET,1583.4699999999998,167.412,2085.7060000000056
Andhra Pradesh,Kurnool,PIGEONPEA,440.396,-23.981000000000012,368.45300000000134
Andhra Pradesh,Kurnool,RABI SORGHUM,1781.8200000000002,-54.859999999999985,1617.2400000000052
Andhra Pradesh,Kurnool,RAPESEED AND MUSTARD,604.47,-61.42100000000001,420.20700000000943
Andhra Pradesh,Kurnool,RICE,3660.308,-13.97100000000005,3618.3950000000004
Andhra Pradesh,Kurnool,SAFFLOWER,598.862,55.766,766.1600000000035
Andhra Pradesh,Kurnool,SESAMUM,325.91400000000004,-64.089,133.6469999999972
Andhra Pradesh,Kurnool,SORGHUM,1885.3139999999999,-86.59900000000003,1625.5170000000217
Andhra Pradesh,Kurnool,SOYABEAN,1526.674,100.10699999999999,1826.9949999999953
Andhra Pradesh,Kurnool,SUGARCANE,10772.384,364.8229999999999,11866.853000000003
Andhra Pradesh,Kurnool,SUNFLOWER,949.3979999999999,7.201000000000014,971.0009999999984
